"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"SOMA";"MEDIA";"REPUTACAO"
"1_3632";4;6;10;19;11;35;16;8;11;13;17;9;17;23;22;20;8;14;10;10;9;13;17;11;14;10;17;16;3;393;13.551724137931;16659
"1_1320";0;0;0;0;0;0;0;0;4;30;9;28;22;16;15;1;8;12;27;22;0;0;13;27;8;8;25;22;5;302;10.4137931034483;11735
"1_69";6;11;9;9;2;2;3;3;1;0;1;1;4;1;0;0;1;3;1;1;0;1;0;1;3;0;2;2;0;68;2.3448275862069;6822
"1_430";0;4;13;1;0;0;13;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;1.48275862068966;6271
"1_1306";0;0;0;0;0;0;0;0;2;7;25;7;4;0;4;2;2;4;2;5;12;6;11;7;5;3;7;5;0;120;4.13793103448276;6041
"1_107";6;11;5;11;3;5;2;0;0;0;0;2;0;2;3;4;4;4;1;2;1;3;1;2;0;1;1;2;0;76;2.62068965517241;5759
"1_1231";0;0;0;0;0;0;0;0;22;9;9;11;7;5;8;5;4;0;3;1;7;7;3;4;1;0;0;0;0;106;3.6551724137931;5580
"1_4101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;26;37;48;8;0;0;0;0;0;129;4.44827586206897;5280
"1_115";6;7;3;5;6;1;6;4;2;2;2;2;1;1;3;1;0;1;3;2;1;3;1;1;1;0;1;3;0;69;2.37931034482759;4850
"1_66";16;23;7;2;5;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;2;4719
"1_5144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;26;30;51;5;141;4.86206896551724;4564
"1_6";7;5;3;2;2;2;0;0;1;0;2;0;2;2;3;2;1;2;1;3;0;0;0;0;0;3;3;0;0;46;1.58620689655172;4392
"1_560";0;0;10;10;16;8;1;0;0;1;6;9;9;3;0;2;0;0;4;2;0;0;6;4;2;1;0;0;0;94;3.24137931034483;4390
"1_28";4;18;5;1;3;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;6;1;45;1.55172413793103;4283
"1_1590";0;0;0;0;0;0;0;0;0;0;4;11;1;4;3;4;2;0;7;10;4;1;4;5;3;3;0;1;1;68;2.3448275862069;4270
"1_389";0;4;5;10;8;1;9;2;5;4;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;52;1.79310344827586;4070
"1_806";0;0;0;0;0;20;13;0;0;0;0;2;1;4;0;6;6;6;4;0;5;1;0;0;0;1;2;0;0;71;2.44827586206897;4027
"1_3340";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;17;13;2;7;13;5;11;4;12;3;20;1;143;4.93103448275862;3916
"1_81";6;6;4;2;0;0;1;1;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0.896551724137931;3714
"1_4108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;5;21;18;12;14;9;2;85;2.93103448275862;3504
